time,open,high,low,close,volume,ticker
2019-01-02,12140,12230,11930,12050,1216350,SSI
2019-01-03,12050,12050,11710,11810,1672220,SSI
2019-01-04,11810,11910,11560,11810,1232910,SSI
2019-01-07,12180,12180,11840,11840,735500,SSI
2019-01-08,11890,11890,11660,11680,1306960,SSI
2019-01-09,11810,11860,11680,11710,1650530,SSI
2019-01-10,11680,11800,11610,11610,1212750,SSI
2019-01-11,11680,11960,11680,11890,1820470,SSI
2019-01-14,11910,11910,11730,11730,776770,SSI
2019-01-15,11730,11840,11710,11810,995860,SSI
2019-01-16,11840,11860,11660,11710,1467160,SSI
2019-01-17,11710,11730,11430,11460,1852510,SSI
2019-01-18,11460,11530,11310,11430,1521200,SSI
2019-01-21,11430,11780,11430,11640,1700870,SSI
2019-01-22,11640,11780,11610,11610,1156270,SSI
2019-01-23,11550,11680,11500,11560,1188790,SSI
2019-01-24,11680,11730,11590,11610,1224550,SSI
2019-01-25,11610,11960,11610,11910,2422010,SSI
2019-01-28,11910,11980,11800,11840,1266510,SSI
2019-01-29,11890,11910,11750,11910,1011500,SSI
2019-01-30,11910,11910,11810,11810,971710,SSI
2019-01-31,11860,12050,11750,11860,1569170,SSI
2019-02-01,11780,11910,11780,11860,985310,SSI
2019-02-11,11960,12230,11910,12230,1946520,SSI
2019-02-12,12230,12500,12180,12340,3517680,SSI
2019-02-13,12390,12500,12340,12360,2327970,SSI
2019-02-14,12320,12410,12300,12320,1420580,SSI
2019-02-15,12280,12340,12160,12210,1828720,SSI
2019-02-18,12340,12390,12250,12320,1754600,SSI
2019-02-19,12320,12570,12320,12390,3414120,SSI
2019-02-20,12390,12550,12390,12500,2300940,SSI
2019-02-21,12530,12680,12500,12680,2871900,SSI
2019-02-22,12730,12860,12590,12840,3132140,SSI
2019-02-25,12960,13090,12930,13000,3266350,SSI
2019-02-26,12860,13050,12800,12960,2864370,SSI
2019-02-27,12960,13000,12840,12840,1240270,SSI
2019-02-28,12820,12960,12610,12680,2286310,SSI
2019-03-01,12680,12820,12680,12820,1042520,SSI
2019-03-04,12860,13160,12860,13130,2304530,SSI
2019-03-05,13090,13230,12960,13090,1955980,SSI
2019-03-06,13180,13180,12980,13090,902140,SSI
2019-03-07,12980,13210,12980,13070,1901510,SSI
2019-03-08,12960,13050,12910,12930,1704440,SSI
2019-03-11,12930,13000,12840,13000,1189010,SSI
2019-03-12,13130,13130,12910,13090,1009700,SSI
2019-03-13,13130,13380,13130,13360,2652480,SSI
2019-03-14,13410,13460,13250,13380,1134420,SSI
2019-03-15,13410,13410,13250,13410,1536660,SSI
2019-03-18,13430,13430,13210,13280,1496440,SSI
2019-03-19,13320,13360,13130,13130,1181940,SSI
2019-03-20,13130,13130,12840,12980,1405780,SSI
2019-03-21,12980,13000,12410,12410,1717850,SSI
2019-03-22,12550,12710,12460,12500,1225180,SSI
2019-03-25,12180,12320,12090,12180,1384910,SSI
2019-03-26,12320,12410,12250,12320,658870,SSI
2019-03-27,12500,12500,12300,12320,789100,SSI
2019-03-28,12320,12360,12250,12300,627460,SSI
2019-03-29,12410,12430,12300,12360,1415600,SSI
2019-04-01,12460,12640,12390,12590,1008960,SSI
2019-04-02,12730,12750,12460,12590,611580,SSI
2019-04-03,12500,12550,12430,12430,504110,SSI
2019-04-04,12410,12570,12410,12410,722050,SSI
2019-04-05,12410,12530,12410,12500,682690,SSI
2019-04-08,12530,12640,12500,12640,1140070,SSI
2019-04-09,12680,12750,12640,12730,1916970,SSI
2019-04-10,12500,12680,12460,12480,815830,SSI
2019-04-11,12500,12550,12390,12390,644980,SSI
2019-04-12,12390,12390,12280,12280,821470,SSI
2019-04-16,12250,12250,12090,12160,1117270,SSI
2019-04-17,12160,12280,12050,12060,1175220,SSI
2019-04-18,12050,12090,11750,11810,1877990,SSI
2019-04-19,11980,12000,11800,11810,730360,SSI
2019-04-22,11680,11800,11360,11460,2123060,SSI
2019-04-23,11460,11530,11390,11430,1678660,SSI
2019-04-24,11550,11710,11500,11680,767360,SSI
2019-04-25,11680,11680,11550,11590,1250190,SSI
2019-04-26,11640,11730,11530,11730,1668760,SSI
2019-05-02,11750,11840,11640,11640,949610,SSI
2019-05-03,11550,11780,11550,11780,1073340,SSI
2019-05-06,11590,11590,11340,11460,2714370,SSI
2019-05-07,11590,11610,11280,11310,2487300,SSI
2019-05-08,11230,11390,11110,11230,1412270,SSI
2019-05-09,11300,11340,11140,11180,994490,SSI
2019-05-10,11230,11430,11180,11390,1243710,SSI
2019-05-13,11410,11480,11360,11460,833800,SSI
2019-05-14,11360,11430,11300,11390,2523900,SSI
2019-05-15,11500,11780,11410,11710,2845830,SSI
2019-05-16,11710,11780,11610,11610,1080440,SSI
2019-05-17,11610,11780,11590,11680,2158380,SSI
2019-05-20,11710,11890,11660,11860,2948390,SSI
2019-05-21,11910,11960,11800,11840,1681390,SSI
2019-05-22,11840,11930,11800,11840,1638520,SSI
2019-05-23,11680,11840,11680,11840,1205860,SSI
2019-05-24,11780,11800,11560,11610,2089530,SSI
2019-05-27,11610,11640,11530,11530,749890,SSI
2019-05-28,11500,11530,11390,11460,1306060,SSI
2019-05-29,11460,11500,11340,11390,846830,SSI
2019-05-30,11390,11530,11300,11410,775200,SSI
2019-05-31,11410,11460,11300,11300,991780,SSI
2019-06-03,11230,11300,11160,11250,1180930,SSI
2019-06-04,11300,11310,11160,11280,694920,SSI
2019-06-05,11430,11430,11300,11300,855950,SSI
2019-06-06,11280,11310,11110,11230,1213200,SSI
2019-06-07,11310,11390,11310,11390,636810,SSI
2019-06-10,11430,11530,11410,11460,930960,SSI
2019-06-11,11460,11480,11410,11460,540470,SSI
2019-06-12,11460,11460,11280,11300,534380,SSI
2019-06-13,11230,11310,11210,11280,659000,SSI
2019-06-14,11280,11390,11280,11280,394640,SSI
2019-06-17,11230,11310,11180,11180,601620,SSI
2019-06-18,11180,11230,11110,11110,913790,SSI
2019-06-19,11280,11300,11180,11280,657740,SSI
2019-06-20,11300,11480,11280,11410,1391800,SSI
2019-06-21,11410,11550,11410,11410,1781100,SSI
2019-06-24,11460,11480,11230,11310,1910480,SSI
2019-06-25,11250,11360,11250,11300,714250,SSI
2019-06-26,11250,11340,11250,11280,1087470,SSI
2019-06-27,11230,11280,11140,11180,1492290,SSI
2019-06-28,11280,11280,11160,11280,611860,SSI
2019-07-01,11390,11410,11280,11360,952870,SSI
2019-07-02,11360,11390,11230,11250,524290,SSI
2019-07-03,11310,11310,11230,11300,477000,SSI
2019-07-04,11300,11500,11250,11460,1885770,SSI
2019-07-05,11590,11590,11460,11530,1942740,SSI
2019-07-08,11530,11530,11360,11410,984550,SSI
2019-07-09,11390,11430,11300,11390,999090,SSI
2019-07-10,11390,11480,11310,11310,939180,SSI
2019-07-11,11410,11430,11360,11410,876130,SSI
2019-07-12,11480,11530,11360,11390,1156910,SSI
2019-07-15,11480,11390,11310,11360,763410,SSI
2019-07-16,11340,11410,11340,11360,882190,SSI
2019-07-17,11410,11780,11360,11730,3708060,SSI
2019-07-18,11610,11710,11590,11610,1284250,SSI
2019-07-19,11660,11730,11610,11640,1471210,SSI
2019-07-22,11550,11560,11310,11390,1822990,SSI
2019-07-23,11460,11480,11360,11410,813110,SSI
2019-07-24,11480,11480,11210,11230,1523410,SSI
2019-07-25,11210,11280,11050,11060,1758090,SSI
2019-07-26,11060,11160,10980,11090,952890,SSI
2019-07-29,11110,11140,10960,10960,598420,SSI
2019-07-30,10960,11060,10610,10610,1418550,SSI
2019-07-31,10500,10610,10410,10540,1509590,SSI
2019-08-01,10540,10660,10500,10590,437780,SSI
2019-08-02,10460,10570,10360,10480,933330,SSI
2019-08-05,10460,10480,10140,10140,1436440,SSI
2019-08-06,9910,9960,9780,9840,1915860,SSI
2019-08-07,9910,10000,9610,9640,1813960,SSI
2019-08-08,9640,9860,9430,9640,2568910,SSI
2019-08-09,9840,10090,9780,10000,2182560,SSI
2019-08-12,10040,10110,9910,10070,1074610,SSI
2019-08-13,9890,9930,9820,9930,1114110,SSI
2019-08-14,10000,10030,9890,9910,1374140,SSI
2019-08-15,9780,9930,9590,9930,2236500,SSI
2019-08-16,9930,10360,9860,10110,2483530,SSI
2019-08-19,10250,10250,10000,10090,848650,SSI
2019-08-20,10090,10180,10030,10040,1288750,SSI
2019-08-21,10000,10230,9980,10230,2260760,SSI
2019-08-22,10250,10290,10140,10180,986320,SSI
2019-08-23,10180,10180,10040,10140,866610,SSI
2019-08-26,9780,9960,9780,9820,1704370,SSI
2019-08-27,9890,9910,9710,9730,1251600,SSI
